,시군구코드,시도명,시군구명,2019_총인구,2020_총인구
156,35310,전라북도,완주군,96212,95834
157,35320,전라북도,진안군,23013,23380
158,35330,전라북도,무주군,22852,22678
159,35340,전라북도,장수군,21267,20879
160,35350,전라북도,임실군,26144,26075
161,35360,전라북도,순창군,26642,26598
162,35370,전라북도,고창군,53260,52608
163,35380,전라북도,부안군,49733,49326
164,36010,전라남도,목포시,228876,224509
165,36020,전라남도,여수시,270283,271505
166,36030,전라남도,순천시,270202,272449
167,36040,전라남도,나주시,112101,113293
168,36060,전라남도,광양시,143656,143928
169,36310,전라남도,담양군,43804,44201
170,36320,전라남도,곡성군,27858,27349
171,36330,전라남도,구례군,23836,23907
172,36350,전라남도,고흥군,60332,60045
173,36360,전라남도,보성군,38339,37888
174,36370,전라남도,화순군,59671,60247
175,36380,전라남도,장흥군,35494,35273
176,36390,전라남도,강진군,32805,32778
177,36400,전라남도,해남군,65175,65223
178,36410,전라남도,영암군,57476,57076
179,36420,전라남도,무안군,81789,84637
180,36430,전라남도,함평군,30556,30156
181,36440,전라남도,영광군,50004,50196
182,36450,전라남도,장성군,42193,41443
183,36460,전라남도,완도군,48366,48269
184,36470,전라남도,진도군,29295,29297
185,36480,전라남도,신안군,35432,35138
186,37010,경상북도,포항시,502064,501109
187,37020,경상북도,경주시,264314,261778
188,37030,경상북도,김천시,139902,139145
189,37040,경상북도,안동시,160344,159412
190,37050,경상북도,구미시,420319,416603
191,37060,경상북도,영주시,105235,103818
192,37070,경상북도,영천시,100487,100353
193,37080,경상북도,상주시,96641,95473
194,37090,경상북도,문경시,68542,68212
195,37100,경상북도,경산시,290088,283733
196,37310,경상북도,군위군,22206,22096
197,37320,경상북도,의성군,49477,49243
198,37330,경상북도,청송군,23958,23761
199,37340,경상북도,영양군,16146,15743
200,37350,경상북도,영덕군,35672,34893
201,37360,경상북도,청도군,41054,41378
202,37370,경상북도,고령군,32191,31419
203,37380,경상북도,성주군,41314,41574
204,37390,경상북도,칠곡군,118517,115756
205,37400,경상북도,예천군,53020,53718
206,37410,경상북도,봉화군,30308,29945
207,37420,경상북도,울진군,47651,47151
208,37430,경상북도,울릉군,8704,8444
209,38110,경상남도,창원시,1036862,1029389
210,38030,경상남도,진주시,354166,352403
211,38050,경상남도,통영시,129931,127984
212,38060,경상남도,사천시,111110,111184
213,38070,경상남도,김해시,549331,552427
214,38080,경상남도,밀양시,103402,103228
215,38090,경상남도,거제시,251226,246965
216,38100,경상남도,양산시,347221,351206
217,38310,경상남도,의령군,26040,25965
218,38320,경상남도,함안군,66611,65279
219,38330,경상남도,창녕군,62370,61302
220,38340,경상남도,고성군,50887,50016
221,38350,경상남도,남해군,42169,41587
222,38360,경상남도,하동군,42583,41772
223,38370,경상남도,산청군,33579,33500
224,38380,경상남도,함양군,37384,37114
225,38390,경상남도,거창군,59888,59595
226,38400,경상남도,합천군,42449,42140
227,39010,제주특별자치도,제주시,487688,492306
228,39020,제주특별자치도,서귀포시,177360,178552
