시도명,시군구명,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
전구,전국,51829136,1722081,2264595,2267481,2449561,3364804,3666212,3301331,3805470,3906665,4325697,4372054,4210645,3885297,2734187,2027679,1600867,1120781,563930,192663,41512,5624
서울특별시,종로구,151291,3130,4217,4721,7656,14111,13997,10662,10065,9778,11923,12442,12258,10978,7882,6119,5295,3582,1694,595,164,22
서울특별시,중구,128744,3573,3485,2879,4450,10206,12010,11031,10474,8842,9322,10280,10444,9969,7159,5497,4388,2832,1291,504,97,11
서울특별시,용산구,225882,7383,7502,6878,8206,14687,20386,20002,19566,16893,18197,18204,17270,15838,11098,8533,6989,4912,2336,785,191,26
서울특별시,성동구,291918,10310,10050,8590,10975,22060,26285,23986,25076,21325,22404,23361,22955,21191,14583,11087,8765,5536,2401,771,182,25
서울특별시,광진구,353967,8766,10938,11712,14378,30082,38125,30230,27226,24817,27382,28400,27486,25383,17487,12585,9413,5836,2591,882,215,33
서울특별시,동대문구,351057,9740,10970,10546,14063,34386,33298,25564,26042,24051,25745,26249,25858,25818,19415,15039,12185,7484,3343,990,233,38
서울특별시,중랑구,385663,10829,12371,11931,14091,23529,32150,28737,29051,26773,29301,33035,34513,32866,23672,17550,12996,7677,3250,1076,230,35
서울특별시,성북구,438833,12562,16218,16554,22076,39422,36491,28771,31437,31055,36577,35118,31622,30556,22481,17966,14635,9413,4160,1413,279,27
서울특별시,강북구,299535,6775,8932,9661,11706,19784,23008,18480,19816,20536,24492,25340,25396,25133,19266,15928,13138,7770,3081,1019,251,23
서울특별시,도봉구,315979,8007,10554,11180,13524,20421,22480,18795,21049,21056,25669,27660,27566,28032,20227,15096,11955,7634,3529,1235,264,46
서울특별시,노원구,511982,13706,19205,23468,28771,39207,34986,29520,33729,37151,46652,45161,40209,38176,27731,20583,15915,10509,5081,1783,380,59
서울특별시,은평구,463102,13099,16506,17328,20084,28322,36117,31917,35206,34494,39070,38061,36260,35721,26448,21054,16629,10556,4454,1424,318,34
서울특별시,서대문구,317209,9356,10850,10421,14203,29899,30045,22811,23219,21699,24592,24681,23073,21651,15640,12703,10689,7222,3164,1029,226,36
서울특별시,마포구,365612,11698,12993,12891,14435,28241,36762,32439,32211,28399,30541,27517,24750,22236,15872,12716,10549,6931,3155,1040,203,33
서울특별시,양천구,439068,12084,18993,23778,24745,26991,29635,25835,30569,34866,41644,39381,35422,32361,23664,16614,11130,6742,3209,1130,244,31
서울특별시,강서구,564854,17970,21463,20330,22213,32286,51403,49112,48563,43714,44189,41726,42796,43501,31481,22842,15081,9375,4576,1815,380,38
서울특별시,구로구,435442,14036,15590,14396,15441,23454,33270,34218,35295,33009,35110,35928,37380,36378,26545,19213,13222,8004,3535,1143,250,25
서울특별시,금천구,249419,6557,7023,6632,7947,14256,23442,20596,18637,16491,19510,22281,23931,21752,14935,10649,7593,4399,1992,610,153,33
서울특별시,영등포구,403619,13596,12966,11015,12319,21506,37810,38675,35289,29358,30961,32778,33791,31709,21930,15768,11601,7558,3588,1100,271,30
서울특별시,동작구,392772,11162,13113,12375,15505,31594,39650,31987,30064,28062,29512,29608,29210,28440,21100,16602,12332,7648,3361,1157,248,42
서울특별시,관악구,502641,10498,12326,12182,16436,41671,71807,50597,38602,32829,35040,34694,35205,34189,26315,20816,15706,8831,3498,1131,230,38
서울특별시,서초구,401749,13222,19529,21165,20573,23963,28266,28273,31837,34595,37913,32788,27492,25904,19897,15478,10536,5991,2875,1137,269,46
서울특별시,강남구,508135,13370,21406,26731,27691,30707,38582,37776,40296,43577,48978,42406,34387,31942,25177,19596,12950,7308,3509,1362,334,50
서울특별시,송파구,643288,22173,27286,27216,28457,38406,51667,51973,54986,51095,53140,51378,49005,47236,34947,23827,15160,8723,4499,1717,351,46
서울특별시,강동구,444434,15267,18720,18462,18803,24997,33614,32965,36812,35271,35699,35105,35538,35681,25937,18109,11782,6636,3342,1349,288,57
부산광역시,중구,41439,526,777,822,1195,2663,3434,2404,2460,2414,3059,3309,3534,4120,3419,2721,2202,1385,635,295,55,10
부산광역시,서구,105303,2302,3175,3190,4039,7156,7004,5309,6046,6477,7627,8127,8949,9931,8243,6603,5317,3560,1609,500,125,14
부산광역시,동구,87246,1902,2181,2175,2893,4476,6035,5236,5435,5305,6301,6927,7265,8425,7107,5737,4772,3142,1363,485,77,7
부산광역시,영도구,113224,2078,3037,3210,5018,8200,6369,4884,5935,6558,8157,8832,9818,11428,9642,7804,6217,3877,1577,476,92,15
부산광역시,부산진구,351403,9294,11671,11285,14658,24856,28508,22793,23798,23515,26140,27492,28978,30362,23502,17475,13393,8619,3765,1074,208,17
부산광역시,동래구,263345,8035,11355,11868,11859,14937,16142,14495,17748,19709,22003,21936,21555,22333,17708,12814,9257,5666,2746,952,197,30
부산광역시,남구,269111,7162,10642,10765,12642,22704,18027,13562,16743,19172,21692,21361,20465,22154,17731,13782,10551,6331,2652,821,137,15
부산광역시,북구,280177,8271,10663,10542,12120,18290,19538,15836,17491,18367,21373,25653,27724,26151,17987,12296,8711,5481,2652,830,180,21
부산광역시,해운대구,389535,11440,16765,17569,19177,22753,23543,20106,25305,29329,34648,35265,33677,32414,23941,17169,12863,8381,3775,1161,229,25
부산광역시,사하구,312057,8368,11683,11517,14599,20492,20581,17070,20796,21210,24128,26414,27640,28639,21482,15207,10803,6807,3161,1174,254,32
부산광역시,금정구,237219,5188,7694,7864,11124,21334,17467,12208,13152,14480,16905,19161,20906,21288,16688,12251,9223,5912,3069,1062,213,30
부산광역시,강서구,136734,9454,10561,6747,4223,5121,8175,12130,17234,13641,9582,7952,8340,8637,6109,3759,2499,1583,704,237,36,10
부산광역시,연제구,204947,6607,8114,7663,8203,12174,13526,12446,14460,14794,16024,16636,16679,17746,14089,10269,7617,4781,2184,751,162,22
부산광역시,수영구,171461,4638,5461,5138,5959,9560,13673,11361,11790,11608,12794,13211,13599,15381,12508,9830,7070,4655,2234,833,141,17
부산광역시,사상구,216350,5401,7129,6826,8756,15776,16050,12824,13589,13851,15558,19220,21630,21123,14983,10080,6797,4147,1853,616,126,15
부산광역시,기장군,169465,7971,10995,9006,7734,7555,8771,10054,15080,16400,14809,12238,10864,11411,8947,6750,5047,3373,1704,580,152,24
대구광역시,중구,74278,2485,2707,2205,2575,5099,6720,5225,5567,4884,5447,5516,5432,5460,4367,3834,3208,2161,1002,306,64,14
대구광역시,동구,333294,11174,13975,12545,13193,18416,21620,20002,23286,24031,25829,27154,28427,27952,22043,16576,13047,8619,4022,1104,255,24
대구광역시,서구,170437,3123,4459,4606,6369,10017,11822,8807,9233,9976,12767,15753,17943,16959,13470,9618,7538,4886,2227,696,145,23
대구광역시,남구,145588,2961,3727,3962,5711,10353,11051,8293,8658,8827,10751,11856,12466,12880,10643,8267,6816,4872,2506,818,149,21
대구광역시,북구,446466,14846,19370,19739,24639,36905,31072,25720,29425,32394,39884,40650,36994,31453,21709,15641,12474,8307,3877,1116,221,30
대구광역시,수성구,412912,10417,18882,23770,25854,27515,24196,18025,23542,31259,40049,39975,34442,29826,21660,15874,12567,8848,4582,1358,242,29
대구광역시,달서구,566712,16565,23882,25233,31290,43002,40307,32587,36617,40896,49091,53289,51001,43257,29638,19777,14372,9753,4575,1328,226,26
대구광역시,달성군,261013,14196,15472,12397,11107,13576,16334,19363,24460,22808,20848,20428,20009,17307,11612,7932,5774,4193,2285,742,152,18
인천광역시,중구,138586,5280,6679,6390,6642,7130,11576,10176,11503,12061,12019,10541,9510,9057,6629,5235,3895,2360,1299,471,115,18
인천광역시,동구,61285,1528,2280,2405,2526,3241,3355,2936,4053,4694,5125,4861,5051,5474,4262,3577,2875,1790,875,310,64,X
인천광역시,연수구,390260,17054,22326,21399,21086,26655,27710,26992,32774,33316,35265,33023,31254,24445,13632,8892,6423,4491,2419,876,204,24
인천광역시,남동구,528927,17767,24683,24417,24370,31535,39194,34818,41446,43593,45605,45487,44972,39512,25731,18062,12906,8415,4293,1678,383,60
