"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
"행정구역별(읍면동)",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"마포구",369327,13006,13141,13091,15816,29685,36087,32214,33136,28687,31497,27012,25204,21889,14793,12696,10639,6669,2902,920,210,33,365612,11698,12993,12891,14435,28241,36762,32439,32211,28399,30541,27517,24750,22236,15872,12716,10549,6931,3155,1040,203,33
"양천구",440354,13201,19101,23432,25774,27157,29182,26089,32025,34663,43431,39440,36506,31605,21513,15498,10824,6505,3074,1054,244,36,439068,12084,18993,23778,24745,26991,29635,25835,30569,34866,41644,39381,35422,32361,23664,16614,11130,6742,3209,1130,244,31
"강서구",574097,20971,22443,20706,24423,32955,50078,48967,52180,43845,46027,42383,45340,42996,29173,21766,14687,8915,4226,1622,354,40,564854,17970,21463,20330,22213,32286,51403,49112,48563,43714,44189,41726,42796,43501,31481,22842,15081,9375,4576,1815,380,38
"구로구",435560,15426,16224,14346,16547,23721,33061,33550,36930,32844,36697,35888,38244,35090,24449,18075,12823,7428,3001,976,223,17,435442,14036,15590,14396,15441,23454,33270,34218,35295,33009,35110,35928,37380,36378,26545,19213,13222,8004,3535,1143,250,25
"금천구",249747,7379,7297,6869,8671,14393,22364,20001,19341,16710,20828,22722,24554,20803,13904,10052,7363,4057,1740,532,145,22,249419,6557,7023,6632,7947,14256,23442,20596,18637,16491,19510,22281,23931,21752,14935,10649,7593,4399,1992,610,153,33
"영등포구",394083,13962,12514,10914,12867,21097,35950,36743,34697,28438,32080,32356,34310,30549,19951,14932,11287,7119,3051,995,247,24,403619,13596,12966,11015,12319,21506,37810,38675,35289,29358,30961,32778,33791,31709,21930,15768,11601,7558,3588,1100,271,30
"동작구",400368,12614,13427,12591,17219,33671,39268,32172,32181,28291,30908,29450,30760,28024,19812,16027,12267,7266,3083,1057,243,37,392772,11162,13113,12375,15505,31594,39650,31987,30064,28062,29512,29608,29210,28440,21100,16602,12332,7648,3361,1157,248,42
"관악구",507828,12334,13029,12663,17942,42140,69742,49614,41154,33299,36876,35312,36810,33762,24987,20224,15311,8233,3120,1002,238,36,502641,10498,12326,12182,16436,41671,71807,50597,38602,32829,35040,34694,35205,34189,26315,20816,15706,8831,3498,1131,230,38
"서초구",404960,14509,19678,20323,21377,23385,28936,29252,34016,34318,39364,31931,28272,26104,18587,15018,10094,5726,2636,1128,271,35,401749,13222,19529,21165,20573,23963,28266,28273,31837,34595,37913,32788,27492,25904,19897,15478,10536,5991,2875,1137,269,46
"강남구",509199,14823,21071,25580,28841,29822,38842,38140,42611,42820,50261,41943,35466,32189,23510,18895,12433,6919,3298,1354,334,47,508135,13370,21406,26731,27691,30707,38582,37776,40296,43577,48978,42406,34387,31942,25177,19596,12950,7308,3509,1362,334,50
