2020,3,11170555,청파동,19836,9404,10432,2022,4059,3099,2872,3116,4668,1062,1693,1669,1431,1553,1996,960,2366,1430,1441,1563,2672,10706,0,10706,867676
2020,3,11170560,원효로1동,15876,7663,8213,2240,2400,3632,2624,2141,2839,1144,1018,1798,1358,1041,1304,1096,1382,1834,1266,1100,1535,7768,0,7768,589294
2020,3,11170570,원효로2동,14578,6860,7718,2393,1900,2127,2419,2365,3374,1057,897,1079,1190,1172,1465,1336,1003,1048,1229,1193,1909,6009,0,6009,915567
2020,3,11170580,효창동,8794,4197,4597,1347,1353,1534,1364,1334,1862,694,645,763,649,646,800,653,708,771,715,688,1062,3740,0,3740,470670
2020,3,11170590,용문동,12628,6049,6579,1830,1791,2087,1973,2024,2923,947,859,1035,966,1007,1235,883,932,1052,1007,1017,1688,5418,0,5418,289284
2020,3,11170625,한강로동,17280,8359,8921,1792,2680,3525,2474,2873,3936,941,1232,1668,1229,1403,1886,851,1448,1857,1245,1470,2050,9217,0,9217,3358956
2020,3,11170630,이촌1동,28311,13267,15044,5852,3019,3844,5109,4373,6114,3013,1460,1711,2308,2115,2660,2839,1559,2133,2801,2258,3454,10259,0,10259,2143668
2020,3,11170640,이촌2동,8912,4212,4700,1121,1007,1553,1263,1435,2533,588,496,796,620,658,1054,533,511,757,643,777,1479,3859,0,3859,1191110
2020,3,11170650,이태원1동,6751,3188,3563,573,979,1059,919,1113,2108,288,518,551,456,524,851,285,461,508,463,589,1257,3690,0,3690,579369
2020,3,11170660,이태원2동,9285,4305,4980,986,1332,1699,1400,1317,2551,485,686,853,658,587,1036,501,646,846,742,730,1515,4877,0,4877,879018
2020,3,11170685,한남동,20697,9990,10707,2297,2712,4058,3366,3148,5116,1207,1346,2052,1635,1528,2222,1090,1366,2006,1731,1620,2894,11192,0,11192,3198883
2020,3,11170690,서빙고동,13296,6415,6881,2353,1802,1556,2503,2233,2849,1200,909,748,1196,1121,1241,1153,893,808,1307,1112,1608,5265,0,5265,2198117
2020,3,11170700,보광동,14231,6962,7269,1333,2230,2167,2163,2488,3850,737,1221,1172,1067,1170,1595,596,1009,995,1096,1318,2255,7544,0,7544,890496
2020,3,11200520,왕십리2동,17636,8608,9028,2589,2590,3084,2804,2836,3733,1332,1258,1552,1387,1386,1693,1257,1332,1532,1417,1450,2040,7719,0,7719,385254
